Region,Customer Segment,Season,Marketing Strategy,Sales
West,Retail,Winter,Social Media,45014
East,Retail,Summer,Radio Ads,20983
South,Wholesale,Winter,TV Ads,38003
South,Wholesale,Winter,Radio Ads,35012
North,Wholesale,Fall,Email Campaign,26356
West,Retail,Fall,TV Ads,45318
North,Retail,Spring,Email Campaign,46908
West,Retail,Summer,Radio Ads,37385
North,Wholesale,Summer,Social Media,32897
North,Wholesale,Spring,Email Campaign,32690
West,Retail,Winter,Email Campaign,47984
West,Wholesale,Spring,Radio Ads,25420
West,Wholesale,Spring,Social Media,29525
West,Wholesale,Summer,Radio Ads,15183
East,Retail,Winter,Email Campaign,33896
North,Retail,Summer,TV Ads,15246
East,Wholesale,Spring,Email Campaign,25129
West,Retail,Fall,TV Ads,28783
North,Retail,Summer,Radio Ads,26547
North,Wholesale,Summer,Radio Ads,45453
East,Retail,Spring,TV Ads,21155
South,Retail,Fall,TV Ads,36507
East,Wholesale,Fall,TV Ads,42027
West,Wholesale,Winter,TV Ads,11324
West,Retail,Summer,Social Media,17424
West,Wholesale,Fall,Email Campaign,16215
South,Retail,Summer,Social Media,30832
East,Wholesale,Summer,TV Ads,28863
North,Retail,Summer,TV Ads,34841
North,Wholesale,Fall,Email Campaign,31713
East,Retail,Winter,Radio Ads,14306
North,Retail,Winter,Radio Ads,16654
East,Retail,Summer,Radio Ads,23433
North,Wholesale,Fall,Email Campaign,39538
North,Wholesale,Fall,Social Media,15715
West,Wholesale,Summer,TV Ads,28923
North,Retail,Spring,TV Ads,35443
South,Retail,Spring,Email Campaign,42798
East,Retail,Fall,Email Campaign,40308
West,Wholesale,Summer,TV Ads,27045
West,Retail,Spring,Email Campaign,40220
East,Wholesale,Summer,TV Ads,45206
South,Retail,Fall,TV Ads,34417
South,Retail,Spring,Radio Ads,38297
West,Retail,Summer,TV Ads,31016
North,Retail,Winter,Social Media,49738
East,Retail,Fall,Radio Ads,34283
North,Wholesale,Spring,Email Campaign,27188
West,Wholesale,Spring,Radio Ads,21316
East,Wholesale,Spring,Email Campaign,28725
East,Retail,Summer,Email Campaign,24648
North,Retail,Fall,TV Ads,40191
North,Wholesale,Winter,Social Media,25679
East,Wholesale,Summer,Email Campaign,32390
North,Wholesale,Fall,Radio Ads,26700
South,Wholesale,Spring,Email Campaign,23218
North,Wholesale,Spring,Radio Ads,20156
North,Retail,Winter,Social Media,17498
North,Retail,Winter,Email Campaign,28138
East,Retail,Summer,Social Media,49466
South,Wholesale,Fall,Social Media,10390
West,Retail,Fall,Radio Ads,44449
North,Wholesale,Winter,Radio Ads,38295
North,Wholesale,Winter,Radio Ads,28119
South,Retail,Winter,Social Media,18542
West,Wholesale,Fall,TV Ads,10739
South,Retail,Spring,Email Campaign,31516
South,Retail,Spring,Radio Ads,15073
East,Wholesale,Summer,Radio Ads,28560
West,Retail,Spring,TV Ads,37510
North,Wholesale,Spring,TV Ads,48367
North,Retail,Summer,Radio Ads,48370
West,Wholesale,Fall,Email Campaign,32187
South,Wholesale,Winter,Email Campaign,41184
South,Retail,Spring,TV Ads,49437
East,Wholesale,Spring,TV Ads,35334
West,Retail,Winter,TV Ads,18664
West,Wholesale,Summer,Social Media,48618
West,Retail,Summer,TV Ads,13273
South,Wholesale,Fall,Radio Ads,44230
North,Wholesale,Summer,TV Ads,13658
North,Retail,Winter,Email Campaign,46389
East,Retail,Summer,Email Campaign,37056
West,Wholesale,Winter,Email Campaign,22242
East,Wholesale,Summer,Radio Ads,15512
West,Wholesale,Spring,Email Campaign,19547
North,Retail,Spring,TV Ads,12725
East,Wholesale,Spring,Social Media,34190
East,Retail,Winter,Social Media,48913
South,Wholesale,Spring,Email Campaign,47163
East,Retail,Fall,Radio Ads,10362
North,Wholesale,Spring,Email Campaign,15658
East,Wholesale,Summer,Social Media,43691
North,Retail,Winter,TV Ads,40409
West,Wholesale,Winter,Email Campaign,39926
North,Wholesale,Summer,TV Ads,46810
South,Retail,Fall,TV Ads,39442
East,Wholesale,Summer,Social Media,34028
West,Wholesale,Summer,Email Campaign,18058
South,Wholesale,Summer,Social Media,11477
North,Retail,Summer,Social Media,42720
South,Retail,Summer,Email Campaign,20565
North,Retail,Fall,Radio Ads,44101
East,Wholesale,Summer,Email Campaign,39392
East,Wholesale,Fall,Social Media,23421
South,Wholesale,Spring,TV Ads,37580
North,Wholesale,Spring,Radio Ads,26381
North,Retail,Summer,TV Ads,15527
South,Retail,Fall,Radio Ads,11799
South,Retail,Winter,Email Campaign,10351
South,Retail,Spring,Radio Ads,28681
East,Retail,Fall,Social Media,42379
South,Retail,Spring,TV Ads,47927
West,Retail,Spring,Radio Ads,47425
North,Retail,Winter,Email Campaign,20372
West,Wholesale,Fall,Email Campaign,26994
East,Wholesale,Fall,Social Media,25641
East,Wholesale,Winter,Radio Ads,44994
East,Wholesale,Winter,TV Ads,10807
